Tweet_ID,Sentiment_Label,Logits_Neutral,Logits_Positive,Logits_Negative,Created_at,location,followers_count,Original_tweet,User_id,Content,Retweet_count
1.28935E+18,negative,0.902580619,-0.68680197,2.877367735,2020-08-01 0:04,United States of Gods America,785,FALSE,34817173,"The teen (im gonna get hell for this) probably had some underlying condition...like grossly obese....or maybe he got hit by a falling lamop during a earthquake after dodging a meteor while balancing on a bridge ovr looking PedoWood...but had the #Rona 
Sooo that counts https://t.co/qIRXK8h3Ni",0
1.28935E+18,positive,0.888839841,1.620757103,0.525603652,2020-08-01 0:14,,2297,"1,289,009,779,906,660,000",81040137,I can’t wait till he recommends we all wear earplugs to keep the #Rona 🐜 out of our eustachian tubes👂🏻🙂 because then it will be so much easier to just tune him out altogether https://t.co/QYgEZnCcny,257
1.28935E+18,negative,0.990283012,-0.000894189,2.217856169,2020-08-01 0:00,,3501,FALSE,306888172,"I'm sneakily watching the fighting game publisher round table at my dad's birthday bbq but honestly I don't expect much aside from ""ugh covid 19 really hurt local fighting game tournaments but shikatanai nothing we can do""",0
1.28935E+18,neutral,1.330057979,0.59703511,0.837893486,2020-08-01 0:00,"Newport Beach, CA",2078,FALSE,3131353929,"There are few things people want me to opine on more than what I think will happen to the market in light of all the COVID and economic uncertainty, and what I think about big tech in light of its persistent popularity and performance.  #investing https://t.co/QRASzyK8zd",0
1.28935E+18,negative,1.411669374,-1.258610725,3.018710375,2020-08-01 0:00,"South Bend, IN",77,"1,289,337,573,513,600,000",1247750384,Let’s not mince words on this one: Americans are dead because the Trump administration wanted to use this pandemic for political gain. https://t.co/YM8CSuF43x,23275
1.28935E+18,neutral,1.618203402,0.814506829,-0.02379567,2020-08-01 0:00,N.Y. U.S.A. ,18243,FALSE,2279225400,"4 takeaways from House hearing on coronavirus response with Fauci, Redfield and Giroir https://t.co/cA0YOqzg7d",1
1.28935E+18,neutral,2.538646221,-0.366083235,0.846589565,2020-08-01 0:00,,151,"1,289,192,151,541,140,000",2508485209,"Congressional hearings on Covid open up with Chair Clyburn citing the Vanity Fair article about Jared and Trump decided not to move forward with a national testing plan because the early outbreaks were in blue states.

They should face crimes against humanity when this is over.",8428
1.28935E+18,negative,0.814333379,-0.118948571,2.254940748,2020-08-01 0:00,"Arkansas, USA and Namibia ",121,"1,289,265,257,949,450,000",183062793,"The fake news media doesn't want you to see this clip, so let's drive them crazy and make it go viral!!! https://t.co/nKtoOQxxcY",31064
1.28935E+18,negative,1.1883986,-0.534379125,1.751747489,2020-08-01 0:00,"Washington, DC",484,"1,289,050,305,116,680,000",65725561,"I cry as an epidemiologist for Herman Cain—because he believed this all the way until he was infected. We should not have schadenfreude. I just cry for all the people we lost because they didn’t hear our alarms, and didn’t believe in science. RIP. #COVID19 https://t.co/ibbL8XWrN6",1605
1.28935E+18,negative,1.034490108,-0.233264089,1.612319112,2020-08-01 0:00,,2279,FALSE,43500616,Removing germs through handwashing therefore helps prevent diarrhea and respiratory infections and may even help prevent skin and eye infections. #HandHygiene #WashYourHands #PatientSafety #Covid19 https://t.co/hS4EZzrgUZ,0
1.28935E+18,neutral,2.294734001,0.695278049,-0.027610397,2020-08-01 0:00,"Miami, Fl",172,"1,289,310,987,456,130,000",30680344,The plug could be pulled on the MLB season as soon as Monday https://t.co/eed8wBDEwC,271
1.28935E+18,positive,1.339400768,2.407115698,-0.411158085,2020-08-01 0:00,Hong Kong,799925,FALSE,23922797,"Masks have become an iconic symbol of the #Covid19 pandemic. For one Hongkonger, it has also been a creative outlet to document history. https://t.co/E8QipPFgW4",8
1.28935E+18,negative,0.527448237,-0.27821964,2.519837379,2020-08-01 0:00,Los Angeles /Amsterdam,7974,FALSE,8.19194E+17,@JReinerMD Every time when I see this my BP goes up. This Covidiot is in more than one way very bad for my health and the health of our fellow Americans,0
1.28935E+18,positive,1.761636615,4.261892319,-0.874996781,2020-08-01 0:00,"Washington, DC",58639,FALSE,29447358,"Fordham has been collecting the best ideas for dealing with the pandemic and distance learning—including highlighting schools, teachers, and parents doing this well. Our growing list is now 112 items long. Check it out here: https://t.co/mbohmq2N8S https://t.co/XK8wlak2s7",0
1.28935E+18,neutral,1.761237621,-0.566349566,1.648999095,2020-08-01 0:00,United States,19618,FALSE,574807922,"#FromTheCenter: We Still Don't Know All the Long-Term Consequences of 'Mild' COVID-19 | Reporting by @lifehacker 

#Coronavirus #PublicHealth #Healthcare #Pandemic 

https://t.co/sv5jBLT3FG",2
1.28935E+18,negative,0.736986279,-0.879973769,2.413600445,2020-08-01 0:00,,731,FALSE,1.28096E+18,JPML judges struggle with 'nightmare' prospect of COVID-19 insurance coverage MDL https://t.co/ZW6fKw9Uh1 @AlisonFrankel https://t.co/gKwIahYLGz,0
1.28935E+18,negative,1.403028607,0.157291412,1.8796767,2020-08-01 0:00,Toronto,614883,FALSE,19000033,Toronto's Caribbean Carnival is being held virtually this year because of the COVID-19 pandemic. CBC Toronto News at 6 anchor @DwightDrummond spoke with writer Amah Harris about the history that ties Emancipation Day and Carnival together. https://t.co/yBNbZRKtoJ,3
1.28935E+18,neutral,1.529716611,-0.594015002,1.514244199,2020-08-01 0:00,"Chattanooga, TN",116198,FALSE,15741370,"Governor Gretchen Whitmer has vetoed a Republican-led bill that she says would have jeopardized the health of Michigan’s nursing home residents and other COVID-19-positive patients.
https://t.co/ygQi3Be3Pw",0
1.28935E+18,negative,1.058308959,-0.8514027,2.336381435,2020-08-01 0:00,,119,"1,289,325,174,311,940,000",9.28432E+17,The NHS Trust in charge of Belmarsh prison where Julian is incarcerated just confirmed there have been no positive #COVID cases in the prison for weeks. Why are there no family visits? We haven't seen Julian since March! @RobertBuckland https://t.co/l5eqg7QEQc,154
1.28935E+18,negative,1.478668928,-1.194830775,3.064976692,2020-08-01 0:00,"Charleston, SC",95839,FALSE,15109904,"Dr. Fauci said inconsistent responses to the pandemic across states and a failure to adhere to expert guidance prevented the U.S from containing the outbreak as effectively as some countries in Europe

https://t.co/iFrjzbjkjK",1
1.28935E+18,neutral,1.983926773,0.865203798,0.145841405,2020-08-01 0:00,,492,"1,289,299,038,748,020,000",8.79848E+17,It's past time for another pandemic history session on #COVIDCalls--are you a historian of medicine/public health or know one who might want to join me? Get in touch!,9
1.28935E+18,negative,1.376800537,-0.193970978,1.694436312,2020-08-01 0:00,"Lilongwe, Malawi 🇲🇼",1950,"1,289,274,810,355,180,000",251169561,"Malawi has registered 97 new COVID-19 cases, 68 new recoveries, and five new deaths. Three of the new deaths are from Blantyre, and one each from Nkhotakota and Phalombe. Let me convey my deepest condolences to the bereaved families. May their souls rest in peace.",13
1.28935E+18,neutral,2.762325287,0.39829582,0.192100093,2020-08-01 0:00,,69,"1,289,337,654,874,530,000",7.8508E+17,Around 200 Muslims practiced social distancing as they gathered on a playing field in Croke Park stadium in Dublin to celebrate Eid al-Adha. https://t.co/hF2Vdek8Sd https://t.co/tmOCqWPxZ3,27
